PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,Arafat; SMY; Kar; SK; Verma; SK; Karim; AKMB; Hossain; MF,,,,Arafat; S. M. Yasir; Kar; Sujita Kumar; Verma; Sudhir Kumar; Karim; A. K. M. Bazlul; Hossain; Md Faruk,,,Amnesia in nonfatal suicidal hanging: Report of three cases with review of literature,ASIAN JOURNAL OF PSYCHIATRY,,,English,Letter,,,,,,,SEQUELAE,,[Arafat; S. M. Yasir; Hossain; Md Faruk] Enam Med Coll & Hosp; Dept Psychiat; Dhaka 1340; Bangladesh; [Kar; Sujita Kumar] King Georges Med Univ; Dept Psychiat; Lucknow 226003; Uttar Pradesh; India; [Verma; Sudhir Kumar] King Georges Med Univ; Dept Med; Lucknow 226003; Uttar Pradesh; India; [Karim; A. K. M. Bazlul] Enam Med Coll & Hosp; Dept Neurosurg; Dhaka 1340; Bangladesh,Kar; SK (corresponding author); King Georges Med Univ; Dept Psychiat; Lucknow 226003; Uttar Pradesh; India.,drsujita@gmail.com,Kar; Sujita Kumar/R-3249-2019; Arafat; S M Yasir/P-9260-2015,Kar; Sujita Kumar/0000-0003-1107-3021; Arafat; S M Yasir/0000-0003-0521-5708,,,,7,0,0,1,1,ELSEVIER,AMSTERDAM,RADARWEG 29; 1043 NX AMSTERDAM; NETHERLANDS,1876-2018,1876-2026,,ASIAN J PSYCHIATR,Asian J. Psychiatr.,AUG,2020,52,,,,,,,,102034,10.1016/j.ajp.2020.102034,,,3,Psychiatry,Psychiatry,NU4ZK,WOS:000573651300009,32311587,,,,05/12/2020
J,Arafat; SMY,,,,Arafat; S. M. Yasir,,,The current status of psychiatric education in Bangladesh,ASIAN JOURNAL OF PSYCHIATRY,,,English,Letter,,,,,,,,,[Arafat; S. M. Yasir] Enam Med Coll & Hosp; Dept Psychiat; Dhaka 1340; Bangladesh,Arafat; SMY (corresponding author); Enam Med Coll & Hosp; Dept Psychiat; Dhaka 1340; Bangladesh.,arafatdmc62@gmail.com,Arafat; S.M. Yasir/P-9260-2015,Arafat; S.M. Yasir/0000-0003-0521-5708,,,,10,0,0,1,1,ELSEVIER,AMSTERDAM,RADARWEG 29; 1043 NX AMSTERDAM; NETHERLANDS,1876-2018,1876-2026,,ASIAN J PSYCHIATR,Asian J. Psychiatr.,AUG,2020,52,,,,,,,,102108,10.1016/j.ajp.2020.102108,,,2,Psychiatry,Psychiatry,NU4ZK,WOS:000573651300029,32361208,,,,05/12/2020
J,Balhara; YPS; Chandiok; K,,,,Balhara; Yatan Pal Singh; Chandiok; Ketaki,,,Can #PlayOurpartTogether help prevent miscommunication?,ASIAN JOURNAL OF PSYCHIATRY,,,English,Article,,,,,,#PlayApartTogether; #PlayOurpartTogether; Gaming disorder; Behavioral addictions; Screen time,GAMING DISORDER,,[Balhara; Yatan Pal Singh] All India Inst Med Sci AIIMS; Natl Drug Dependence Treatment Ctr; Dept Psychiat; Psychiat;Behav Addict Clin BAC; New Delhi; India; [Chandiok; Ketaki] All India Inst Med Sci AIIMS; Natl Drug Dependence Treatment Ctr; New Delhi; India,Balhara; YPS (corresponding author); All India Inst Med Sci AIIMS; Natl Drug Dependence Treatment Ctr; Dept Psychiat; Psychiat;Behav Addict Clin BAC; New Delhi; India.,ypsbalhara@gmail.com,,,,,,4,0,0,0,0,ELSEVIER,AMSTERDAM,RADARWEG 29; 1043 NX AMSTERDAM; NETHERLANDS,1876-2018,1876-2026,,ASIAN J PSYCHIATR,Asian J. Psychiatr.,AUG,2020,52,,,,,,,,102123,10.1016/j.ajp.2020.102123,,,2,Psychiatry,Psychiatry,NU4ZK,WOS:000573651300034,32361212,Green Published,,,05/12/2020
J,Baminiwatta; AKAB; Bandara; WAVS; Athurugiriya; AAID; Yangdon; T; Cader; GR; Bokalamulla; LAB; Bandara; WRRD; Bandara; WMKM; Chandradasa; KASIP; Athukorala; HP; Dias; GSSR,,,,Baminiwatta; A. K. A. B.; Bandara; W. A. V. S.; Athurugiriya; A. A. I. D.; Yangdon; T.; Cader; G. R.; Bokalamulla; L. A. B.; Bandara; W. R. R. D.; Bandara; W. M. K. M.; Chandradasa; K. A. S. I. P.; Athukorala; H. P.; Dias; G. S. S. R.,,,A nationwide survey of attitudes towards psychiatry among final-year medical students in Sri Lanka,ASIAN JOURNAL OF PSYCHIATRY,,,English,Article,,,,,,Attitude towards psychiatry; Attitude towards mental illness; Stigma; Undergraduate training; Clinical training; Career interest,MENTAL-ILLNESS; STIGMA; DOCTORS; WILL,"Stigma towards psychiatry; a debilitating phenomenon worldwide; is likely to have engendered the longstanding lack of recruitment into psychiatry in Sri Lanka (SL). However; as recent expansion of the undergraduate training in psychiatry in SL may have instigated favorable changes in students' attitudes; we assessed the attitudes of students regarding psychiatry by administering Attitude towards psychiatry-30 (ATP-30) scale to final-year medical students in nine medical schools in SL. This 30-item questionnaire covers eight domains of psychiatry and is rated on a Likert scale; producing a total score out of 150. A multiple linear regression was performed to investigate associated factors. A total of 743 fin. 1-year students participated. Of them; 54 % were male. The mean attitude score was 107.7 (SD = 12.3) and 92.2 % showed an overall ""positive"" attitude. 22.2 % of students considered psychiatry as a potential future career. Students with more than one month of clinical exposure to psychiatry showed a better attitude compared to those with shorter exposure. Female gender and the presence of a close person with mental illness were also associated with better attitudes and career interest. The generally positive attitude towards psychiatry among medical students may be explained; at least partly; by recent advances in undergraduate psychiatry education in SL. Longer clinical exposure to psychiatry being associated with better attitudes indicates the need to ensure adequate duration of clinical training in psychiatry in the undergraduate curriculum.",[Bandara; W. A. V. S.; Athurugiriya; A. A. I. D.; Yangdon; T.; Cader; G. R.; Bokalamulla; L. A. B.; Bandara; W. R. R. D.; Bandara; W. M. K. M.; Chandradasa; K. A. S. I. P.; Athukorala; H. P.; Dias; G. S. S. R.] Univ Peradeniya; Fac Med; Colombo; Sri Lanka; [Baminiwatta; A. K. A. B.] Univ Kelaniya; Fac Med; Ragama; Sri Lanka,Baminiwatta; AKAB (corresponding author); Univ Kelaniya; Fac Med; Ragama; Sri Lanka.,baminiwatta@kln.ac.lk,,Baminiwatta; Anuradha/0000-0002-5495-2029,,,,40,0,0,1,1,ELSEVIER,AMSTERDAM,RADARWEG 29; 1043 NX AMSTERDAM; NETHERLANDS,1876-2018,1876-2026,,ASIAN J PSYCHIATR,Asian J. Psychiatr.,AUG,2020,52,,,,,,,,102101,10.1016/j.ajp.2020.102101,,,5,Psychiatry,Psychiatry,NU4ZK,WOS:000573651300012,32334399,,,,05/12/2020
J,Behera; C; Kishore; S; Kaushik; R; Sikary; AK; Satapathy; S,,,,Behera; Chittaranjan; Kishore; Shyam; Kaushik; Ruchika; Sikary; Asit Kumar; Satapathy; Sujata,,,Suicide announced on Facebook followed by uploading of a handwritten suicide note,ASIAN JOURNAL OF PSYCHIATRY,,,English,Letter,,,,,,,,,[Behera; Chittaranjan; Kishore; Shyam; Kaushik; Ruchika] All India Inst Med Sci; Dept Forens Med; New Delhi 110029; India; [Sikary; Asit Kumar] ESIC Med Coll; Dept Forens Med; Faridabad; India; [Satapathy; Sujata] All India Inst Med Sci; Dept Psychiat; New Delhi 110029; India,Sikary; AK (corresponding author); ESIC Med Coll; Dept Forens Med; Faridabad; India.,asitsikary@gmail.com,,,,,,6,0,0,0,0,ELSEVIER,AMSTERDAM,RADARWEG 29; 1043 NX AMSTERDAM; NETHERLANDS,1876-2018,1876-2026,,ASIAN J PSYCHIATR,Asian J. Psychiatr.,AUG,2020,52,,,,,,,,102061,10.1016/j.ajp.2020.102061,,,2,Psychiatry,Psychiatry,NU4ZK,WOS:000573651300041,32361057,,,,05/12/2020
J,Brailey; J; Bastiampillai; T,,,,Brailey; Jonathan; Bastiampillai; Tarun,,,Clozapine withdrawal malignant catatonia in a medical intensive care unit setting,ASIAN JOURNAL OF PSYCHIATRY,,,English,Letter,,,,,,,,,[Brailey; Jonathan] Southern Adelaide Local Hlth Network; Discipline Psychiat; Flinders Dr; Bedford Pk; SA 5042; Australia; [Bastiampillai; Tarun] Flinders Univ S Australia; Coll Med & Publ Hlth; Discipline Psychiat; Flinders Dr; Bedford Pk; SA 5042; Australia,Brailey; J (corresponding author); Southern Adelaide Local Hlth Network; Discipline Psychiat; Flinders Dr; Bedford Pk; SA 5042; Australia.,Jonathan.brailey@sa.gov.au; Tarun.bastiampillai@flinders.edu.au,,Bastiampillai; Tarun/0000-0002-6931-2913,,,,9,0,0,0,0,ELSEVIER,AMSTERDAM,RADARWEG 29; 1043 NX AMSTERDAM; NETHERLANDS,1876-2018,1876-2026,,ASIAN J PSYCHIATR,Asian J. Psychiatr.,AUG,2020,52,,,,,,,,102043,10.1016/j.ajp.2020.102043,,,2,Psychiatry,Psychiatry,NU4ZK,WOS:000573651300031,32311586,,,,05/12/2020
J,Cetin; B; Rakici; S; Gumusay; O,,,,Cetin; Bulent; Rakici; Sema; Gumusay; Ozge,,,Can you draw the picture of happiness- Treatment of a young woman with breast cancer during the COVID-19 pandemic,ASIAN JOURNAL OF PSYCHIATRY,,,English,Letter,,,,,,COVID-19; Anxiety; Cancer; Hope,,,[Cetin; Bulent] Suleyman Demirel Univ; Div Med Oncol; Dept Internal Med; Fac Med; TR-32260 Isparta; Turkey; [Rakici; Sema] Recep Tayyip Erdogan Univ; Dept Radiat Oncol; Fac Med; Rize; Turkey; [Gumusay; Ozge] UCSF Helen Diller Family Comprehens Canc Ctr; San Francisco; CA USA; [Gumusay; Ozge] Gaziosmanpasa Univ; Div Med Oncol; Dept Internal Med; Fac Med; Tokat; Turkey,Cetin; B (corresponding author); Suleyman Demirel Univ; Div Med Oncol; Dept Internal Med; Fac Med; TR-32260 Isparta; Turkey.,caretta06@hotmail.com,,,,,,4,0,0,0,0,ELSEVIER,AMSTERDAM,RADARWEG 29; 1043 NX AMSTERDAM; NETHERLANDS,1876-2018,1876-2026,,ASIAN J PSYCHIATR,Asian J. Psychiatr.,AUG,2020,52,,,,,,,,102174,10.1016/j.ajp.2020.102174,,,2,Psychiatry,Psychiatry,NU4ZK,WOS:000573651300023,32464519,Green Published,,,05/12/2020
J,Chang; J; Kim; JA; Kim; K; Choi; S; Kim; SM; Nam; YY; Park; S; Goo; AJ; Park; SM,,,,Chang; Jooyoung; Kim; Jihoon Andrew; Kim; Kyuwoong; Choi; Seulggie; Kim; Sung Min; Nam; Yoon-Young; Park; Subin; Goo; Ae Jin; Park; Sang Min,,,Association of antipsychotics adherence and cardiovascular disease among newly diagnosed schizophrenia patients: A national cohort among Koreans,ASIAN JOURNAL OF PSYCHIATRY,,,English,Article,,,,,,Adherence; Antipsychotics; Schizophrenia; Cardiovascular disease; All-cause mortality; Cohort,MEDICATION ADHERENCE; RISK-FACTORS; MORTALITY; ANTIDEPRESSANTS; NONADHERENCE; PREVALENCE; BENZODIAZEPINES; HOSPITALIZATION; POLYPHARMACY; METAANALYSIS,Background: The effect of antipsychotics adherence on the risk of cardiovascular disease (CVD) among schizophrenia patients has not been studied. While antipsychotic adherence is favorable for all-cause mortality; its association with CVD incidence is unclear due to the potential risk of CVD caused by antipsychotics. Methods: Using the Korean National Health Insurance Service Database; we constructed a case-cohort of 80;581 newly-diagnosed schizophrenia patients between 2004 and 2013 from a cohort of all Koreans 20-40 years old. Patients were divided into quartiles by adherence determined by their two-year medication possession ratio. Patients were followed from two years following the diagnosis of schizophrenia until Dec. 31st; 2017 for the primary outcome of incident CVD and secondary outcomes of stroke; myocardial infarction; and all-cause mortality. Cox proportional hazards analysis was performed adjusting for conventional risk factors. Outcomes: Newly diagnosed schizophrenia patients were followed for a median of 7.0 years resulting in 1396 incident CVD cases over 5.73 x 10(5) person-years. When adjusted for potential confounders; the best adherence quartile group had significantly lower risk of CVD (HR; 95%CI; 0.78; 0.66-0.92; p-trend; 0.003); stroke (HR; 95%CI; 0.79; 0.66-0.94; p-trend; 0.015); and all-cause mortality (HR; 95%CI; 0.86; 0.78-0.95; p-trend; 0.003) compared to the worst adherent quartile group. Subgroup analysis by antipsychotics generation; concurrent medication; and comorbidities did not significantly alter results. Interpretation: Among newly diagnosed schizophrenia patients; better adherence to antipsychotics lowered the risk CVD incidence despite previously suggested antipsychotic-associated CVD risk. Thus; efforts to improve antipsychotics adherence may improve CVD outcomes in schizophrenia patients.,[Chang; Jooyoung; Kim; Kyuwoong; Choi; Seulggie; Kim; Sung Min; Park; Sang Min] Seoul Natl Univ; Dept Biomed Sci; Grad Sch; Seoul; South Korea; [Kim; Jihoon Andrew] Yale Univ; Sch Med; Dept Psychiat; New Haven; CT USA; [Nam; Yoon-Young] Natl Ctr Mental Hlth; Dept Psychiat; Seoul; South Korea; [Park; Subin] Natl Ctr Mental Hlth; Dept Res Planning; Seoul; South Korea; [Goo; Ae Jin] Natl Ctr Mental Hlth; Dept Family Med; Seoul; South Korea; [Park; Sang Min] Seoul Natl Univ Hosp; Dept Family Med; 127 Yongmasan Ro; Seoul; South Korea,Goo; AJ (corresponding author); Natl Ctr Mental Hlth; Dept Family Med; Seoul; South Korea.; Park; SM (corresponding author); Seoul Natl Univ; Coll Med; Dept Family Med & Biomed Sci; 101 Daehak Ro; Seoul; South Korea.,chokyul211@gmail.com; smpark.snuh@gmail.com,,Kim; Jihoon/0000-0002-2573-4866,National Center for Mental Health; Korea [3700-3731-311210-13]; Basic Science Research Program by the National Research Foundation - Ministry of Education of Korea [2017R1D1A1B03033721],This work was funded by the 2018 Research Funds provided by the National Center for Mental Health; Korea (Grant no: 3700-3731-311210-13) and the Basic Science Research Program provided by the National Research Foundation funded by the Ministry of Education of Korea (Grant no: 2017R1D1A1B03033721).,,34,0,0,1,1,ELSEVIER,AMSTERDAM,RADARWEG 29; 1043 NX AMSTERDAM; NETHERLANDS,1876-2018,1876-2026,,ASIAN J PSYCHIATR,Asian J. Psychiatr.,AUG,2020,52,,,,,,,,102161,10.1016/j.ajp.2020.102161,,,8,Psychiatry,Psychiatry,NU4ZK,WOS:000573651300013,32454424,,,,05/12/2020
J,Charan; IA; Shen; X; Wang; ZZ; Yao; DW,,,,Charan; Iftikhar Ahmed; Shen Xin; Wang Zezhuang; Yao; Dewei,,,Rethinking efficacy: People's perception of ritual healing and trance religious practices at shrines in Pakistan,ASIAN JOURNAL OF PSYCHIATRY,,,English,Article,,,,,,Psychology; Ritual healing; Religious practices; Trance; Shrine; Hazrat Lal Shahbaz qalandar; Pakistan,MEDICINE,Ritual healing is one of the core topics in anthropology and is also important in psychology. The key aim of this study is to investigate and explore the understanding of religious perspectives of ritual healing and trance practices in Muslim shrines in Pakistan. Several studies have been conducted to highlight the shrines in Muslim countries to demonstrate the Sufi tradition in Islam; where the followers seek healing and use the Sufi saints as intermediaries for the fulfillment of their desires. In Pakistan; the shrine of Hazrat Lal Shahbaz Qalandar provides a vital cultural; religious; psychological; and social resource where people get involved in religious rituals and trances. A sample of 70 devotees was randomly interviewed with the help of qualitative research methods such as semi-structured and in-depth interviewed; key informants included observation were used for data collection. The major focus of this study is on the religious rituals of healing and the overall assumption that people engage in this practice according to their socio-cultural needs; and followers of the shrine in the living community seek healing rituals to address their social ailments as well as physical and emotional problems. They engage in different types of rituals; including trances; with different objectives. The research goal is to discover the chief motive of devotees who visit the shrine for the rituals and religious practices. These findings of this study propose that shrine ritual healing is powerful not so much because of the specific practice of exorcist rituals; but because the practice is associated with sacred activities and religious rituals performed by thousands of people throughout the years.,[Charan; Iftikhar Ahmed; Shen Xin; Yao; Dewei] Anhui Univ; Dept Anthropol; Sch Sociol & Polit Sci; 111 Jiulong Rd; Hefei 230601; Anhui; Peoples R China; [Wang Zezhuang] Beijing Language & Culture Univ; Inst Int & Reg Studies; Beijing; Peoples R China,Shen; X (corresponding author); Anhui Univ; Dept Anthropol; Sch Sociol & Polit Sci; 111 Jiulong Rd; Hefei 230601; Anhui; Peoples R China.; Wang; ZZ (corresponding author); Beijing Language & Culture Univ; Inst Int & Reg Studies; Beijing; Peoples R China.,852011147@qq.com; wangzezhuang@126.com,,Charan; Iftikhar Ahmed/0000-0003-3060-1782,Political Thoughts and Governance in Islamic Countries [19BSS038],This work is funded by Political Thoughts and Governance in Islamic Countries (National Funding 19BSS038).,,47,0,0,1,1,ELSEVIER,AMSTERDAM,RADARWEG 29; 1043 NX AMSTERDAM; NETHERLANDS,1876-2018,1876-2026,,ASIAN J PSYCHIATR,Asian J. Psychiatr.,AUG,2020,52,,,,,,,,102020,10.1016/j.ajp.2020.102020,,,10,Psychiatry,Psychiatry,NU4ZK,WOS:000573651300025,32305682,,,,05/12/2020
J,Chatterjee; SS; Malathesh; BC; Das; S; Singh; OP,,,,Chatterjee; Seshadri Sekhar; Malathesh; Barikar C.; Das; Soumitra; Singh; Om Prakash,,,Interactions of recommended COVID-19 drugs with commonly used psychotropics,ASIAN JOURNAL OF PSYCHIATRY,,,English,Letter,,,,,,Hydroxychloroquine; Psychotropics; Drug interaction; COVID-19; Ritonavir/Lopinavir,LOPINAVIR/RITONAVIR,,[Chatterjee; Seshadri Sekhar] Diamond Harbour Med Coll; Dept Psychiat; Diamond Harbour; W Bengal; India; [Malathesh; Barikar C.] NIMHANS; Dept Psychiat; Bengaluru; India; [Das; Soumitra] NWMH; Melbourne; Vic; Australia; [Singh; Om Prakash] West Bengal Univ Hlth Sci; Dept Psychiat; Kolkata; India,Malathesh; BC (corresponding author); NIMHANS; Dept Psychiat; Bengaluru; India.,bc.malathesh@gmail.com,Chatterjee; Seshadri Sekhar/AAI-9523-2020; Barikar; Malathesh/AAC-4211-2019,Chatterjee; Seshadri Sekhar/0000-0002-5554-2216; Barikar; Malathesh/0000-0001-9107-1717; Singh; Om Prakash/0000-0001-7672-3676,,,,10,1,1,0,0,ELSEVIER,AMSTERDAM,RADARWEG 29; 1043 NX AMSTERDAM; NETHERLANDS,1876-2018,1876-2026,,ASIAN J PSYCHIATR,Asian J. Psychiatr.,AUG,2020,52,,,,,,,,102173,10.1016/j.ajp.2020.102173,,,2,Psychiatry,Psychiatry,NU4ZK,WOS:000573651300035,32446195,Green Published,,,05/12/2020
